State;State Abbreviation;Total Population;Black Population;Hispanic Population;Native American Population;Asian Population;Pacific Islander Population;White Population;Other Population;% African-American;% Victims Black;Disparity;# Black people killed;# Hispanic people killed;# Native American people killed;# Asian people killed;# Pacific Islanders killed;# White people killed;# Unknown Race people killed;# People Killed;Rate (Black People);Rate (Hispanic People);Rate (Native American People);Rate (Asian People);Rate (Pacific Islanders);Rate (White People);Rate (All People);Disparity in Rate;Black-White Disparity;Hispanic-White Disparity;Native American-White Disparity;Allegedly Armed People Killed by Police (1/1/2013-12/31/2020);Unarmed/Did Not Have an Actual Weapon People Killed by Police (1/1/2013-12/31/2020);Unclear Armed Status People Killed by Police (1/1/2013-12/31/2020);People Armed with Vehicle Killed by Police (1/1/2013-12/31/2020)
Alaska;AK;738516;22817;51186;103506;45617;8544;450754;56092;0,030895742;0,081632653;0,050736911;4;1;12;;1;24;7;49;21,91348556;2,442074005;14,49191351;0;14,63014981;6,655514982;8,293659176;2,642197502;3,292530423;0,366924875;2,177429328;38;3;6;2
Alabama;AL;4864680;1285737;203146;23243;63936;1521;3196730;90367;0,264300427;0,373417722;0,109117295;59;1;;1;;84;13;158;5,736009775;0,615321001;0;1,95508008;0;3,284606457;4,059876498;1,412853267;1,746330907;0,187334772;0;104;23;19;12
Arkansas;AR;2990671;458536;219052;17342;43441;7877;2173849;70574;0,153322114;0,299145299;0,145823185;35;3;;1;;67;11;117;9,541235585;1,711922283;0;2,877465988;0;3,852613498;4,890206913;1,951090364;2,476561843;0,444353498;0;89;10;8;10
Arizona;AZ;6946685;286614;2163312;271946;222477;12523;3825886;163927;0,041259104;0,084183673;0,042924569;33;139;15;;;159;46;392;14,39217903;8,03166626;6,894751164;0;0;5,194875122;7,053724186;2,040366004;2,77045717;1,546074943;1,327221733;289;56;27;20
California;CA;39148760;2164519;15221577;138427;5525439;138911;14695836;1264051;0,055289593;0,151335312;0,096045719;204;540;8;48;10;368;170;1348;11,78090837;4,434494534;7,224024215;1,085886569;8,998567428;3,13013836;4,304095455;2,737139195;3,763702115;1,416708792;2,307892937;889;233;144;82
Colorado;CO;5531141;216732;1184794;30131;169556;7480;3778212;144236;0,039183959;0,102941176;0,063757218;28;79;6;4;;123;32;272;16,14897662;8,334782249;24,89130796;2,948878247;0;4,069385201;6,14701379;2,62712549;3,968406975;2,048167435;6,11672445;201;25;28;18
Connecticut;CT;3581504;351817;561791;5320;157406;752;2418696;85722;0,098231637;0,219512195;0,121280558;9;8;;1;;20;3;41;3,19768516;1,780021396;0;0,794124747;0;1,033614807;1,430963081;2,234638476;3,093691322;1,722132252;0;27;8;4;2
District of Columbia;DC;684498;315281;74776;1314;26278;280;248057;18512;0,460601784;0,888888889;0,428287105;24;;;;;1;2;27;9,515321253;0;0;0;0;0,503916439;4,930620688;1,929842479;18,88273635;0;0;20;4;1;2
Delaware;DE;949495;204665;86315;2851;36464;276;595623;23301;0,215551425;0,454545455;0,23899403;10;1;;;;8;3;22;6,107541592;1,448183977;0;0;0;1,678914347;2,896276442;2,108756438;3,637792246;0,862571685;0;14;3;1;4
Florida;FL;20598139;3167011;5184720;41776;548642;10770;11196857;448363;0,153752288;0,305642633;0,151890345;195;88;;7;;282;66;638;7,696531525;2,121618911;0;1,594846913;0;3,148204894;3,871708993;1,987889983;2,444736535;0,67391386;0;457;95;45;40
Georgia;GA;10297484;3195363;968463;18416;399223;5070;5476441;234508;0,310305216;0,391585761;0,081280544;121;14;;3;;120;51;309;4,733421524;1,806986947;0;0,939324638;0;2,739005131;3,750916243;1,261937409;1,72815358;0,659723827;0;206;51;27;25
Hawaii;HI;1422029;24472;147962;1877;522731;132583;314536;277868;0,017209213;0,025;0,007790787;1;4;;3;24;5;3;40;5,107878392;3,379246023;0;0,717386189;22,62733533;1,987053946;3,516102696;1,45271024;2,57057862;1,700631243;0;22;7;;11
Iowa;IA;3132499;107471;183296;9067;74640;2863;2695888;59274;0,034308391;0,137254902;0,102946511;7;2;;;;37;5;51;8,141731258;1,363914106;0;0;0;1,715575721;2,035116372;4,000621964;4,745772021;0,795018307;0;40;4;4;3
Idaho;ID;1687809;10739;209073;18775;22809;2348;1387654;36411;0,006362687;0,01754386;0,011181173;1;7;3;;1;39;6;57;11,63981749;4,185141075;19,97336884;0;53,23679727;3,513123588;4,221449228;2,757303679;3,31323883;1,191287744;5,685359009;47;3;6;1
Illinois;IL;12821497;1796057;2174842;15037;685343;3088;7894286;252844;0,140081692;0,538461538;0,398379846;105;25;;1;;53;11;195;7,307674534;1,43688599;0;0,182390423;0;0,839214591;1,90110406;3,843910856;8,707754379;1,712179465;0;145;20;15;15
Indiana;IN;6637426;610343;450267;12125;143883;2133;5275162;143513;0,091954773;0,302631579;0,210676806;46;6;;;;85;15;152;9,420932164;1,665678364;0;0;0;2,014156153;2,862555454;3,291091584;4,677359375;0,826985714;0;121;17;6;8
Kansas;KS;2908776;163713;340616;19504;82887;1827;2214543;85686;0,056282436;0,135802469;0,079520033;11;11;;;;54;5;81;8,398844319;4,036803908;0;0;0;3,048032935;3,480845552;2,412874744;2,755496577;1,32439642;0;59;11;4;7
Kentucky;KY;4440204;349407;158744;8498;62432;2339;3764082;94702;0,078691655;0,15;0,071308345;21;3;;1;;99;16;140;7,512728709;2,362294008;0;2,00217837;0;3,287654201;3,941260357;1,906174175;2,285133487;0,718534816;0;104;8;17;11
Louisiana;LA;4663616;1492230;234920;24014;79137;1154;2744265;87896;0,319972742;0,537572254;0,217599512;93;7;;4;;55;14;173;7,790354034;3,724672229;0;6,31815712;0;2,505224532;4,636959818;1,680056403;3,109643042;1,486761838;0;116;25;21;11
Massachusetts;MA;6830193;463796;789127;8890;440336;1698;4930412;195934;0,067903791;0,245901639;0,177997848;15;11;;1;;29;5;61;4,042725681;1,742431827;0;0,283874132;0;0,735232674;1,116366697;3,621324151;5,498566403;2,369905321;0;44;7;5;5
Maryland;MD;6003435;1759438;588912;10949;371981;2265;3084868;185022;0,293071883;0,604166667;0,311094784;87;8;;1;;38;10;144;6,180950963;1,698046567;0;0,336038669;0;1,539774149;2,998283483;2,061496519;4,014193228;1,102789372;0;89;33;4;18
Maine;ME;1332813;16990;21421;7722;14814;258;1244525;27083;0,012747475;0,028571429;0,015823954;1;1;;;;31;2;35;7,357268982;5,835395173;0;0;0;3,113637733;3,282531008;2,241340284;2,362917466;1,874140691;0;27;3;3;2
Michigan;MI;9957488;1360345;497897;45772;303059;2464;7489371;258580;0,136615279;0,345323741;0,208708462;48;4;;2;1;64;20;139;4,410645829;1,004223765;0;0,82492188;50,73051948;1,068180492;1,744917995;2,52770952;4,12912037;0,940125543;0;109;14;8;8
Minnesota;MN;5527358;336505;292764;53168;260797;1799;4438071;144254;0,0608799;0,212765957;0,151886058;20;4;5;7;;55;3;94;7,429310114;1,707860256;11,75519109;3,355099944;0;1,549096443;2,125789573;3,494847378;4,795899021;1,102488011;7,588417845;72;12;7;3
Missouri;MO;6090062;699730;249105;23566;115311;6037;4848330;147983;0,114897024;0,352173913;0,237276889;81;6;;;2;106;35;230;14,46986695;3,010778587;0;0;41,411297;2,732899782;4,720805798;3,065126499;5,294693587;1,101679106;0;175;27;13;15
Mississippi;MS;2988762;1121752;90493;12990;28170;654;1696952;37751;0,375323294;0,375;-0,000323294;45;1;1;1;;58;14;120;5,014477353;1,381322312;9,622786759;4,437344693;0;4,272365983;5,018800426;0,999138624;1,173700327;0,323315539;2,252332033;77;23;12;8
Montana;MT;1041732;4348;39019;64643;7806;706;898953;26257;0,004173818;0;-0,004173818;;1;6;;;36;8;51;0;3,203567493;11,6021843;0;0;5,005823441;6,119616178;0;0;0,639968135;2,317737419;36;4;6;5
North Carolina;NC;10155624;2146254;935950;111360;280059;5677;6433039;243285;0,211336497;0,351464435;0,140127938;84;9;1;1;1;123;20;239;4,892244814;1,201987286;1,122485632;0,446334522;22,01867183;2,390005719;2,94171978;1,663056028;2,046959459;0,502922347;0,469658137;190;20;20;9
North Dakota;ND;752201;20113;26529;38308;10664;366;639477;16744;0,026738864;0;-0,026738864;;;6;;;8;;14;0;0;19,578156;0;0;1,5637779;2,326505814;0;0;0;12,51978046;8;2;3;1
Nebraska;NE;1904760;88442;203281;13918;43839;1091;1512314;41875;0,046432096;0,225;0,178567904;9;4;2;;;24;1;40;12,72020081;2,459649451;17,96235091;0;0;1,983715022;2,625002625;4,845785939;6,412312589;1,239920766;9,054904919;27;6;2;5
New Hampshire;NH;1343622;17622;48356;1838;35848;270;1214547;25141;0,013115296;0;-0,013115296;;1;;;;18;2;21;0;2,584994623;0;0;0;1,852542553;1,953674471;0;0;1,395376651;0;12;3;4;2
New Jersey;NJ;8881845;1129257;1768020;9599;826944;2255;4960005;185765;0,127142165;0,486725664;0,359583499;55;14;;1;;29;14;113;6,08807384;0,989807808;0;0,151158966;0;0,730846037;1,590322731;3,828200226;8,330172879;1,354331496;0;76;16;13;8
New Mexico;NM;2092434;38016;1015751;183408;29571;1046;788308;36334;0,018168315;0,030487805;0,01231949;5;90;6;1;;46;16;164;16,44044613;11,07554903;4,089243653;4,227114403;0;7,29410332;9,797202684;1,678075534;2,253936558;1,518425027;0,560623215;121;14;16;13
Nevada;NV;2922849;249967;831597;26355;229928;17703;1458093;109206;0,085521695;0,170068027;0,084546332;25;33;2;2;;69;16;147;12,50165022;4,960335355;9,48586606;1,087296893;0;5,915260549;6,286674406;1,988595148;2,113457237;0,838565827;1,603626075;110;12;16;9
New York;NY;19618453;2808679;3705588;46139;1616028;5591;10959534;476894;0,143165162;0,463687151;0,320521989;83;20;;1;;60;15;179;3,693907349;0,674656762;0;0,077350145;0;0,684335666;1,140507868;3,238826714;5,397800425;0,985856496;0;130;37;9;3
Ohio;OH;11641879;1418048;431327;17723;247987;3055;9220638;303101;0,121805767;0,388185654;0,266379887;92;2;;4;;125;14;237;8,109739586;0,579606656;0;2,016234722;0;1,694568207;2,544692313;3,186923442;4,785726272;0,342037962;0;169;38;15;15
Oklahoma;OK;3918137;282622;407521;280638;82318;3982;2586110;274946;0,07213173;0,224489796;0,152358066;55;21;15;2;1;141;10;245;24,32577789;6,441385843;6,681204969;3,037002843;31,39126067;6,815255345;7,816214696;3,112219769;3,569312764;0,945142261;0,980330836;176;33;17;19
Oregon;OR;4081943;74356;523956;36776;172505;15301;3103557;155492;0,018215835;0,070866142;0,052650307;9;11;;;;93;14;127;15,12991554;2,62426616;0;0;0;3,745702109;3,889079294;3,890359234;4,039273573;0,700607278;0;100;11;11;5
Pennsylvania;PA;12791181;1360576;905156;14419;424597;2702;9826865;256866;0,106368286;0,333333333;0,226965047;64;12;1;1;1;85;28;192;5,879862646;1,657172907;8,669117137;0,294396804;46,26202813;1,081219697;1,876292736;3,13376614;5,438175665;1,532688418;8,017905297;142;25;15;10
Rhode Island;RI;1056611;59001;158858;3708;35128;684;767727;31505;0,05583985;0,5;0,44416015;3;1;;;;2;;6;6,355824478;0,786866258;0;0;0;0,325636587;0,709816574;8,954178743;19,51815223;2,416393886;0;4;1;;1
South Carolina;SC;4955925;1328352;275685;14187;74278;2812;3156973;103638;0,268033112;0,320895522;0,052862411;43;2;;2;;72;15;134;4,046367228;0,906832073;0;3,365734134;0;2,85083211;3,379792874;1,197223433;1,419363565;0,318093819;0;102;9;11;12
South Dakota;SD;864289;15840;31995;72263;12540;236;710810;20605;0,018327203;0;-0,018327203;;1;9;1;;12;4;27;0;3,906860447;15,56813307;9,968102073;0;2,110268567;3,904943832;0;0;1,851356983;7,377323111;17;4;5;1
Tennessee;TN;6651089;1107218;352402;15172;112015;3318;4924145;136819;0,166471686;0,222222222;0,055750536;46;6;;2;;126;27;207;5,19319592;2,128251259;0;2,231843949;0;3,19852482;3,890340364;1,334895005;1,623622205;0,665385257;0;145;21;17;24
Texas;TX;27885195;3269253;10921556;68452;1292813;20381;11807263;505477;0,11723974;0,222636816;0,105397076;179;245;1;15;;281;83;804;6,844071107;2,804087623;1,826097119;1,450325763;0;2,974863861;3,604063016;1,898987636;2,300633382;0,942593595;0,613842248;594;113;51;46
Utah;UT;3045350;33713;422123;28047;68747;26607;2394238;71875;0,01107032;0,091836735;0,080766414;9;14;2;1;2;64;6;98;33,36991665;4,145711084;8,913609299;1,81826116;9,396023603;3,341355371;4,022526146;8,295761279;9,986940312;1,240727377;2,667662763;65;12;17;4
Virginia;VA;8413774;1582421;771177;17747;526973;4740;5233111;277605;0,188075054;0,414285714;0,22621066;58;7;1;1;;56;17;140;4,581587327;1,134629274;7,043443962;0,237203804;0;1,337636446;2,079922755;2,202768019;3,425136434;0,84823442;5,265589154;107;18;8;7
Vermont;VT;624977;7602;11677;1867;10541;170;581023;12097;0,012163648;0;-0,012163648;;1;1;;;10;1;13;0;10,70480432;66,95232994;0;0;2,151377828;2,600095684;0;0;4,975790015;31,12067488;7;6;;
