"State,""votesDem"",""percD"",""votesRep"",""percR"",""electoralRep"",""win"",""electoralDem"""
"Wyoming,""55973"",""0.2163"",""174419"",""0.6740"",""3"",""R"","""""
"West Virginia,""188794"",""0.2643"",""489371"",""0.6850"",""5"",""R"","""""
"North Dakota,""93758"",""0.2723"",""216794"",""0.6296"",""3"",""R"","""""
"Utah,""310676"",""0.2746"",""515231"",""0.4554"",""6"",""R"","""""
"Idaho,""189765"",""0.2749"",""409055"",""0.5926"",""4"",""R"","""""
"Oklahoma,""420375"",""0.2893"",""949136"",""0.6532"",""7"",""R"","""""
"South Dakota,""117458"",""0.3174"",""227721"",""0.6153"",""3"",""R"","""""
"Kentucky,""628854"",""0.3268"",""1202971"",""0.6252"",""8"",""R"","""""
"Arkansas,""380494"",""0.3365"",""684872"",""0.6057"",""6"",""R"","""""
"Nebraska,""284494"",""0.3370"",""495961"",""0.5875"",""2"",""R"","""""
"Alabama,""729547"",""0.3436"",""1318255"",""0.6208"",""9"",""R"","""""
"Tennessee,""870695"",""0.3472"",""1522925"",""0.6072"",""11"",""R"","""""
"Montana,""177709"",""0.3575"",""279240"",""0.5617"",""3"",""R"","""""
"Kansas,""427005"",""0.3605"",""671018"",""0.5665"",""6"",""R"","""""
"Alaska,""116454"",""0.3655"",""163387"",""0.5128"",""3"",""R"","""""
"Indiana,""1033126"",""0.3791"",""1557286"",""0.5682"",""11"",""R"","""""
"Missouri,""1071068"",""0.3814"",""1594511"",""0.5677"",""10"",""R"","""""
"Louisiana,""780154"",""0.3845"",""1178638"",""0.5809"",""8"",""R"","""""
"Mississippi,""485131"",""0.4011"",""700714"",""0.5794"",""6"",""R"","""""
"South Carolina,""855373"",""0.4067"",""1155389"",""0.5494"",""9"",""R"","""""
"Iowa,""653669"",""0.4174"",""800983"",""0.5115"",""6"",""R"","""""
"Texas,""3877868"",""0.4324"",""4685047"",""0.5223"",""36"",""R"","""""
"Ohio,""2394164"",""0.4356"",""2841005"",""0.5169"",""18"",""R"","""""
"Arizona,""1161167"",""0.4513"",""1252401"",""0.4867"",""11"",""R"","""""
"Georgia,""1877963"",""0.4564"",""2089104"",""0.5077"",""16"",""R"","""""
"North Carolina,""2189316"",""0.4617"",""2362631"",""0.4983"",""15"",""R"","""""
"Minnesota,""1367716"",""0.4644"",""1322951"",""0.4492"","""",""D"",""10"""
"Wisconsin,""1382536"",""0.4645"",""1405284"",""0.4722"",""10"",""R"","""""
"New Hampshire,""348526"",""0.4698"",""345790"",""0.4661"","""",""D"",""4"""
"Michigan,""2268839"",""0.4727"",""2279543"",""0.4750"",""16"",""R"","""""
"Pennsylvania,""2926441"",""0.4746"",""2970733"",""0.4818"",""20"",""R"","""""
"Florida,""4504975"",""0.4782"",""4617886"",""0.4902"",""29"",""R"","""""
"Maine,""357735"",""0.4783"",""335593"",""0.4487"","""",""D"",""2"""
"Nevada,""539260"",""0.4792"",""512058"",""0.4550"","""",""D"",""6"""
"Colorado,""1338870"",""0.4816"",""1202484"",""0.4325"","""",""D"",""9"""
"New Mexico,""385234"",""0.4826"",""319667"",""0.4004"","""",""D"",""5"""
"Virginia,""1981473"",""0.4973"",""1769443"",""0.4441"","""",""D"",""13"""
"Oregon,""1002106"",""0.5007"",""782403"",""0.3909"","""",""D"",""7"""
"Washington,""1742718"",""0.5254"",""1221747"",""0.3683"","""",""D"",""8"""
"Delaware,""235603"",""0.5309"",""185127"",""0.4172"","""",""D"",""3"""
"Rhode Island,""252525"",""0.5441"",""180543"",""0.3890"","""",""D"",""4"""
"Connecticut,""897572"",""0.5457"",""673215"",""0.4093"","""",""D"",""7"""
"New Jersey,""2148278"",""0.5499"",""1601933"",""0.4100"","""",""D"",""14"""
"Illinois,""3090729"",""0.5583"",""2146015"",""0.3876"","""",""D"",""20"""
"Vermont,""178573"",""0.5668"",""95369"",""0.3027"","""",""D"",""3"""
"New York,""4556124"",""0.5901"",""2819534"",""0.3652"","""",""D"",""29"""
"Massachusetts,""1995196"",""0.6001"",""1090893"",""0.3281"","""",""D"",""11"""
"Maryland,""1677928"",""0.6033"",""943169"",""0.3391"","""",""D"",""10"""
"California,""8753788"",""0.6173"",""4483810"",""0.3162"","""",""D"",""55"""
"Hawaii,""266891"",""0.6222"",""128847"",""0.3003"","""",""D"",""3"""